iter	RMSE
0	989.5407789
1	913.6282639
2	847.3727412
3	785.8144743
4	728.5556582
5	680.9970363
6	636.5660133
7	596.5019304
8	562.9761667
9	532.6963135
10	507.8517187
11	483.3423131
12	462.9168052
13	441.4563033
14	425.0665101
15	409.5592902
16	394.6671187
17	380.7463982
18	369.2018681
19	356.1243846
20	341.3803527
21	333.2770738
22	324.4505171
23	316.9213069
24	311.4982854
25	298.9221211
26	289.5831989
27	282.3261532
28	277.9041404
29	273.7703482
30	269.4356392
31	264.9248971
32	260.1458701
33	255.4623957
34	250.7193789
35	247.7668691
36	243.2938679
37	240.5130331
38	235.9252267
39	233.7680375
40	229.9750119
41	227.7506269
42	225.6874755
43	223.5542413
44	220.4921473
45	218.092276
46	215.3990796
47	213.5809636
48	211.1379566
49	209.5289897
50	207.2443362
51	205.777872
52	204.5727378
53	202.4106908
54	200.7621772
55	198.3359032
56	197.3763331
57	195.9112508
58	195.2286328
59	193.9433553
60	192.9563312
61	192.1217516
62	190.6967229
63	188.7646
64	188.1054001
65	186.8707158
66	185.6867718
67	184.6425164
68	183.8187688
69	183.0212234
70	181.9788678
71	181.1841361
72	180.3073052
73	179.2076501
74	177.9954783
75	177.0202897
76	175.4512095
77	174.409514
78	173.3267434
79	172.7492146
80	171.9866304
81	171.1503427
82	170.5230628
83	169.5031636
84	168.7045892
85	168.1446583
86	167.3539515
87	166.8678764
88	166.3899536
89	165.2186329
90	164.2733269
91	163.4567521
92	162.7823699
93	162.0317028
94	161.7769463
95	161.13627
96	160.3159457
97	159.6715825
98	159.1585886
99	158.5311827
100	158.0601931
101	157.4505215
102	156.6647424
103	155.7281433
104	155.1908394
105	154.4548895
106	153.9821266
107	153.4162329
108	153.0067039
109	152.5038346
110	152.1239956
111	151.850119
112	151.5989278
113	151.2075578
114	150.8786625
115	150.4636883
116	150.2467282
117	149.9268021
118	149.3712272
119	148.7498849
120	148.409378
121	148.0340231
122	147.6042521
123	147.2136526
124	146.825266
125	146.4033903
126	146.0864977
127	145.7820576
128	145.4539919
129	144.8456123
130	144.6059483
131	144.252193
132	143.8996007
133	143.6223463
134	143.2365798
135	142.9567133
136	142.7294229
137	142.3583034
138	142.0772483
139	141.7051008
140	141.4835438
141	140.9793589
142	140.6596057
143	140.4211699
144	140.2631256
145	139.9897293
146	139.6775038
147	139.4880577
148	139.144833
149	138.894889
150	138.6374816
151	138.3591609
152	138.1912018
153	137.9788385
154	137.7680529
155	137.5393037
156	137.3691771
157	137.1490225
158	136.8287109
159	136.4943088
160	136.0235882
161	135.5816198
162	135.3345636
163	135.1601439
164	134.8924434
165	134.6721974
166	134.5124041
167	134.0730445
168	133.8376399
169	133.6851
170	133.5218738
171	133.264508
172	132.9033485
173	132.5551147
174	132.3749157
175	132.1234119
176	131.7660221
177	131.5370399
178	131.3646592
179	131.120074
180	130.8464001
181	130.6419478
182	130.4356462
183	130.3093037
184	130.1576256
185	130.0174106
186	129.8485779
187	129.6086169
188	129.4899839
189	129.3739791
190	129.1912708
191	129.0014342
192	128.6858355
193	128.4999137
194	128.3984242
195	128.1825932
196	127.9217018
197	127.7835079
198	127.5630109
199	127.4640936
